ico_name,member_order,member_name,position,description,linktype,link,member_type
Artyfact Metaverse,1,Oleg Boytsov   ,Founder & CEO,Takes part in this project only,linkedin,https://www.linkedin.com/in/olegboytsov,normal
Artyfact Metaverse,2,Dalton Grant Jnr,Operations Manager,Takes part in this project only,linkedin,https://icoholder.com/en/v2/ico/www.linkedin.com/in/dalton-grant-jnr-63aa0b29/,normal
Artyfact Metaverse,3,Cameron Pino,CMO,Takes part in this project only,linkedin,https://icoholder.com/en/v2/ico/ico-rwww.linkedin.com/in/cameron-pino-981ba92b/,normal
Artyfact Metaverse,4,Eugene Musienko   ,Adviser,Takes part in this project only,linkedin,https://www.linkedin.com/mwlite/in/eugene-musienko,advsisor
Wrapped Minima,1,Paddy Cerri,Co-Founder & Chief Blockchain ArchitectCo-Founder & Chief Blockchain Architect,Participates in a number of projects,twitter,https://twitter.com/Spartacuswrecks,normal
Wrapped Minima,2,Jon MacDonald,Chief Marketing Officer,Takes part in this project only,twitter,https://twitter.com/jmacdonald,normal
Wrapped Minima,3,Hugo Feiler,Co-Founder & Chief Executive Officer,Takes part in this project only,twitter,https://twitter.com/HugoFeiler,normal
ALTEUM,1,Víctor F. Navarro,FOUNDER & CEO,Takes part in this project only,linkedin,https://www.linkedin.com/in/victor-francisco-navarro-escamilla-b68b0845/,normal
ALTEUM,2,Javier Garza,FOUNDER & ALTEUM FOUNDATION,Takes part in this project only,linkedin,https://www.linkedin.com/in/javier-garza-05a05812b/,normal
ALTEUM,3,Alejandro Garza,CO-FOUNDER / CTO,Takes part in this project only,linkedin,https://www.linkedin.com/in/alejandro-garza-cuellar-49b06195/,normal
ALTEUM,4,Eduardo Cavazos,CO-FOUNDER / COO,Takes part in this project only,linkedin,https://www.linkedin.com/in/eduardo-cavazos-6692181b/,normal
ALTEUM,5,Ricardo Rocha,CO-FOUNDER / BUSINESS DEVELOPMENT,Takes part in this project only,linkedin,https://www.linkedin.com/in/ricardorochagranat/,normal
ALTEUM,6,Miguel Marcos,CFO,Takes part in this project only,linkedin,https://www.linkedin.com/in/miguel-marcos-6b505b78/,normal
ALTEUM,7,Ramiro Nava,CSO,Takes part in this project only,linkedin,https://www.linkedin.com/in/ramiro-antonio-nava-sauceda-ab7012144/,normal
ALTEUM,8,Herman Ramsden,RISK MANAGEMENT,Takes part in this project only,linkedin,https://www.linkedin.com/in/herman-ramsden-441889101/,normal
ALTEUM,9,Cristina Fuentevilla,HEAD OF COMMUNICATIONS,Takes part in this project only,linkedin,https://www.linkedin.com/in/cristina-fuentevilla-29709b159/,normal
ALTEUM,10,Alan Ríos,LEGAL & COMPLIANCE,Takes part in this project only,linkedin,https://www.linkedin.com/in/alan-rios-leal-b273204b/,normal
ALTEUM,11,Carlos Quintana,SENIOR SOFTWARE ARQUITECT,Takes part in this project only,linkedin,https://www.linkedin.com/in/carlosquintanas/,normal
ALTEUM,12,Daniel Márquez,SOFTWARE ENGINEER,Takes part in this project only,linkedin,https://www.linkedin.com/in/daniel-marquez-08397a25/,normal
ALTEUM,13,Ricardo Parra,SOFTWARE ENGINEER,Takes part in this project only,linkedin,https://www.linkedin.com/in/ricardo-javier-parra-alvarez-047ba558/,normal
ALTEUM,14,Manuel Valenzuela,RESEARCH AND DEVELOPMENT,Takes part in this project only,linkedin,https://www.linkedin.com/in/manuel-valenzuela-rendón-842188120,normal
Arealeum,1,Dr. Markus Handl  ,Founder,Takes part in this project only,linkedin,https://www.linkedin.com/in/markus-johannes-handl-9a911a93/,normal
Arealeum,2,Peter Wiesinger,Founder,Takes part in this project only,linkedin,https://www.linkedin.com/in/peter-wiesinger-385a7225a/,normal
Arealeum,3,Filip Markovic,CTO,Takes part in this project only,linkedin,https://www.linkedin.com/in/filip-markovic-37b66014a/,normal
Arealeum,4,Dalibor Peric  ,COO,Takes part in this project only,linkedin,https://www.linkedin.com/in/dali-peric-342382108/,normal
Arealeum,5,Martin Mildner,IT Consultant,Takes part in this project only,linkedin,https://www.linkedin.com/in/martinmildner/,normal
Arealeum,6,Frank Stronach  ,Advisor,Participates in a number of projects,website,https://en.wikipedia.org/wiki/Frank_Stronach,advsisor
GBX,1,Nick Cowan,CEO,Takes part in this project only,linkedin,https://www.linkedin.com/in/nick-cowan-00a1a439/,normal
GBX,2,Philip Young,Group Marketing Director,Takes part in this project only,linkedin,https://www.linkedin.com/in/philip-young-189312a4/,normal
GBX,3,William Rawley,Group Legal Counsel,Takes part in this project only,linkedin,https://www.linkedin.com/in/william-rawley-b83b1958/,normal
GBX,4,Adrian Hogg,CFO,Takes part in this project only,linkedin,https://www.linkedin.com/in/adrian-hogg-3561b5153,normal
GBX,5,Ben Soh,Executive Director,Takes part in this project only,linkedin,https://www.linkedin.com/in/benjamin-soh-68924b148/,normal
GBX,6,Thomas Chao,Director Business Development,Takes part in this project only,linkedin,https://www.linkedin.com/in/tchao1980/,normal
GBX,7,David Wang,Executive Director,Takes part in this project only,linkedin,https://www.linkedin.com/in/david-wang-27589a35/,normal
GBX,8,Daniel Evans,Manager Listings & Development,Takes part in this project only,linkedin,https://www.linkedin.com/in/danieljgevans/,normal
GBX,9,Ted Quek,Head of Technology Operations,Takes part in this project only,linkedin,https://www.linkedin.com/in/tedquek,normal
GBX,10,Daryl McFarlane,CTO,Takes part in this project only,linkedin,https://www.linkedin.com/in/daryl-mcfarlane-a0757348/,normal
GBX,11,Andrew Pal,CSO,Takes part in this project only,linkedin,https://www.linkedin.com/in/andrew-pal-0869814/,normal
GBX,12,Christopher Bruno,Marketing & Communications Director,Takes part in this project only,linkedin,https://www.linkedin.com/in/christopherbruno83/,normal
GBX,13,Donovan Obosi,Community Manager,Takes part in this project only,linkedin,https://www.linkedin.com/in/donovan-obosi-0b4999105/,normal
GBX,14,Daniel Cole,Marketing Executive,Takes part in this project only,linkedin,https://www.linkedin.com/in/danielc2/,normal
GBX,15,Yew Kiat Phang,Takes part in this project only,No description,linkedin,https://www.linkedin.com/in/yew-kiat-phang-2a346321/,advsisor
GBX,16,Jehan Chu,Participates in several projects,No description,linkedin,https://www.linkedin.com/in/jehan-chu-637101/,advsisor
GBX,17,Joey Garcia,Participates in several projects,No description,linkedin,https://www.linkedin.com/in/joeygarcia/,advsisor
GBX,18,Eddy Travia,Participates in a number of projects,No description,linkedin,https://www.linkedin.com/in/startupeddy/,advsisor
Ethernal Heroes,1,Ivan Petrov,Co-founder & CEO,Takes part in this project only,linkedin,https://www.linkedin.com/in/ione-petrov,normal
Ethernal Heroes,2,Stepan Burlakov,Chief Creative Officer,Takes part in this project only,linkedin,https://www.linkedin.com/in/stepan-burlakov-9533378/,normal
Ethernal Heroes,3,Andrey Rybushkin,Co-founder & CMO,Takes part in this project only,linkedin,https://www.linkedin.com/in/rybushkin/,normal
Ethernal Heroes,4,Sergey Zhilnikov,Chief Technology Officer,Participates in several projects,linkedin,https://www.linkedin.com/in/sergey-zhilnikov-9b32076b/,normal
Ethernal Heroes,5,Sergey Elgin,Server Technology,Takes part in this project only,linkedin,https://www.linkedin.com/in/axelr/,normal
